rating,review_text,customer
5,I have been extremely impressed by the service given concerning my pension annuity. The advice given was straightforward and evrything was explained to me in as much detail I required. I would not hesitate to give my full recomendation. ,Ascot Lloyd
5,The advisor was excellent and explained everything in detail. I feel confident I have received the best advice. I was kept informed with each step and process and everything was made clear. Overall I am totally happy with my new advisor. ,Ascot Lloyd
5,Done quickly.  ,Ascot Lloyd
5,Always had good service ,Ascot Lloyd
5,I have been with Ascot Lloyd for many years and they are always professional and efficient in dealing with my financial affairs. ,Ascot Lloyd
5,Heather was very polite and helpful,Ascot Lloyd
4,"Recently had a review with Mustafa Mahmoud and wish to say thank you for his superb attitude, something very rare in this age we are living in.  Please convey my thanks to him.  Les Craig",Ascot Lloyd
5,"This is most helpful, patient, focused financial help I have ever received. ",Ascot Lloyd
5,"Craig, took the trouble to contact me and provide very helpful advice. This is unlike my last 4 years experience of Ascot Lloyd with no annual reviews and no contact at all from an adviser.  Until my experience with Craig I would give Ascot Lloyd 0/10.",Ascot Lloyd
5,  Mustafa Mahmood My financial adviser above was 100% helpful in every way - took his time & most importantly he listened to my needs & wants! The advise/guidance he gave was first class -  Very helpful indeed!,Ascot Lloyd
5,Very supportive team helping with financial management,Ascot Lloyd
5,"Raj Chauhan was extremely efficient, and very helpful in sorting out the outstanding issues enabling me to have a further contact on Thursday with Kevin Branche.",Ascot Lloyd
5,Very helpful friendly and understanding and provided me with the information ?? requested promptly  ,Ascot Lloyd
5,The staff were very attentive and very professional ,Ascot Lloyd
5,I was listened to while I explained what I needed. And talked through what I needed to do. ,Ascot Lloyd
4,"There was a technical issue with calls disconnecting at first, however the customer service operators were helpful at sorting it.  My query was resolved quickly by Ascot Lloyd and the team really helpful. Thank you.",Ascot Lloyd
5,"Very polite, friendly and professional help from the contact team",Ascot Lloyd
4,The lady on the phone was very helpful and she phoned me back as she said she would and was able to arrange an appointment at a suitable time.,Ascot Lloyd
5,David jones sorted query effectively and quickly very professional  Allowed time for questions ,Ascot Lloyd
1,"Our initial meeting was very positive. However when we approached them for a second time further down the line, the promised email in a 'few days' ended up being almost 2 weeks, and they didn't even bother calling when they said they would. No follow up email either. I sent an email to express my displeasure & didn't get a response to that either. Unprofessional and frankly rude. Will be using another IFA",Ascot Lloyd
5,Raj was fantastic. I did not have a lot of question but what i did have was answered on the spot. More help was offered as and when it is required. Would highly recommend Ascot Lloyd.,Ascot Lloyd
5,Very clear instructions and professional approach,Ascot Lloyd
5,"Many thanks for such prompt service.  I found the experience, dealing with my requirements, very helpful providing me with assistance and information that I needed to facilitate my request.  ",Ascot Lloyd
5,Raj Chauhan was very helpful when we called.  He was both extremely professional and knowledgeable in the matter we were considering. We would highly recommend Raj and Ascot Lloyd for your investment queries and advice.,Ascot Lloyd
5,Spoke to Hudson Archer Today from capital professional and was very well-spoken and polite . ,Ascot Lloyd
5,I found Ascot Lloyd through unbiased.com after being told by my SIPP provider that I needed to go through an IFA to make a transfer. I had three calls with Raj Chauhan. All very professional and careful to understand what I wanted to do whilst working out if it was really necessary to employ an IFA. Raj talked with colleagues and my pension provider resulting in a clear objective choice for me. I was very impressed and intend to return to Raj at Ascot Lloyd when I need to do a full financial review.,Ascot Lloyd
5,"Helpful, friendly, attentive and patient. ",Ascot Lloyd
5,Very helpful and patient advisor,Ascot Lloyd
1,"Ascot Lloyd ran our company pension scheme.   They made a huge mistake which should be impossible in any well run scheme, paying the wrong gains to the wrong people resulting in many thousands of pounds of mistakes.    To make matters worse, they are impossible to contact.  - e.g. talking 2 months to reply to a simple email asking for a form to be sent.  ",Ascot Lloyd
5,Raj was very helpful with my concerns and I think I had just been listening to the media too much I feel better just being able to talk to someone.,Ascot Lloyd
5,"David Jones was excellent to deal with. Very professional, had all the information required and dealt with ny query in a very efficient manner. Would most definitely recommend. ",Ascot Lloyd
5,"Raj was easy to talk to explained the steps that are taken. Did not feel at all pressured, he answered the questions I had and told me that I could phone back with any questions I might think of. Good customer service.",Ascot Lloyd
5,"I have had really great service from my financial advisor Mustafa Mahmood when I needed advice regarding my Drawdown Pension. He was very thorough, took time to listen to me and discuss my options, explaining each carefully. He kept me informed all through the process and I never had to chase him for a response. I was very pleased with the service I received from him & highly recommend him. 5 stars for you Mustafa, thank you. ",Ascot Lloyd
5,Great customer service,Ascot Lloyd
5,I have received great advice regarding my Financial planning from Mustafa Mahood  It was clear and precise with out jargon  Great connection with Mustafa I know my aims in my financial planning going forward I would like to mention also connect team especially David Jones for their support ,Ascot Lloyd
5,"Raj C listened politely, helped me formulate a plan, and sent the information in a way I did  appreciate. thankyou Ascot Lloyd. ",Ascot Lloyd
5,"Mustafa Mahmood, is excellent, I would recommend him to anyone, he is in regular contact and answers all our questions. ",Ascot Lloyd
5,"Very polite and helpful, told me straight away what the call was about",Ascot Lloyd
5,Excellent service with a lovely gentleman at the other end of the phone,Ascot Lloyd
5,"Our adviser Matt Law has gone out of his way to fully explain the current status of our investments in a friendly, informative manner without any pressure to make changes if I didn�t think they were necessary. He acts in our best interests when discussing options available. He is very polite yet also friendly. His communication is first class. I have full confidence in him and he is a credit to Ascot Lloyd.",Ascot Lloyd
5,Phone answered promptly. The person I spoke to was helpful and sorted out my query quickly and I felt re-assured. Many thanks,Ascot Lloyd
5,"Simple and efficient communication, my request was dealt and resolved in just a few minutes with all information and details provided. Thank you. ",Ascot Lloyd
5,Very friendly and professional. Answered all my questions and gave advice,Ascot Lloyd
5,The timely response from Mr Couldrick to both Geraldine's and my request for withdrawals from our ISA accounts was appreciated. He was most courteous to our requests and put the process immediately into action. ,Ascot Lloyd
5,Prompt reply to emails  Helpful phone conversation to guide us through the process. Well done! ,Ascot Lloyd
5,Craig was his usual knowledgable & helpful self. Very personable & asset to the company. ,Ascot Lloyd
5,"Financial review - well structured, paid great attention, good advice which was really relatable. Resulted in me having a clear view on what I needed to do in a number of areas. Looking forward to a positive ongoing relationship",Ascot Lloyd
5,It's just a phone call. No-one invented the wheel. Get over yourselves !,Ascot Lloyd
5,"Spoke to Heather, who was able to help with an initial problem, and  Heather has made a telephone call appointment for someone to phone to help further.",Ascot Lloyd
5,David Jones worked really hard and talked me through the procedure to recover a link to log on in simple to understand language  His patience and understanding could not be faulted now working as it should  Thank you very much ,Ascot Lloyd
5,"Easy to get through. Heather listened very well and gave straight forward, very helpful advice, with a clear path forward. All delivered very promptly and personably. A very different experience than with my previous provider.",Ascot Lloyd
5,Jojo provided exceptional caring customer service during a most difficult time.  I appreciated her expertise and efficiency in assisting me with taking care of my late mum's affairs.,Ascot Lloyd
5,"The first call to Ascot was ok and maybe I was misunderstood, but once I called back and spoke with Raj and Kevin everything was easy, and sorted out really quickly ",Ascot Lloyd
5,No fussle. Fabulous.  Thank you. 10 out of ten. From me. Merry Christmas to all.  ,Ascot Lloyd
5,"Thank you Mahmood, very knowledgeable and most helpful. Most useful interaction",Ascot Lloyd
5,"Our pension advisor, Lindsay Carter keeps us well informed and her advice has always been welcomed and I am pleased with my pension growth. ",Ascot Lloyd
4,We had a home visit which was promptly kept. Copies of all needed information was brought and clearly explained. We were given a good idea of our future needs and the action we needed to take to secure our financial security.,Ascot Lloyd
5,Good quality financial information and advice.,Ascot Lloyd
5,Super quick response to my question regarding my pension monthly payments ,Ascot Lloyd
5,Great service. Extremely professional ,Ascot Lloyd
5,Delighted with the service. Our advisor is very helpful.,Ascot Lloyd
5,Very professional and yet still friendly ,Ascot Lloyd
5,"I have always found Kevin Clare to be professional, efficient and attentive. ",Ascot Lloyd
5,The financial review by Mustafa Mahmood carried out this week was straightforward and clear. Mustafa provided advice without jargon that was concise. He also answered my questions on current matters that I thought might impact my wife and I very succinctly. Thank you Mustafa.,Ascot Lloyd
5,Professional advice and great performance ,Ascot Lloyd
5,I have a great experience Ascot Lloyd. I do like the business ethics.  My Financial advisor is excellent a true professional.  I would recommend this company to anyone.  I get regular Financial updates and emails.  Delighted. ,Ascot Lloyd
5,Some challenging issues dealt with in a knowledgeable and accessible way by our IFA Allan Perry.,Ascot Lloyd
5,Always given good sound financial advice.  Advisor always gets back quickly when emailed or phoned. Easy to access account value and know my money is safe and being invested well.,Ascot Lloyd
5,Very professional and trustworthy advice ,Ascot Lloyd
5,Helpful thorough service provided by competent professional people,Ascot Lloyd
4,Caring person answering . Very reassuring. ,Ascot Lloyd
5,"Heather was Very efficient, understanding, and well mannered, and knows exactly how to treat clients. I would imagine the company must be proud to have her on board ",Ascot Lloyd
5,Problem quickly resolved by a very helpful young lady. She was pleasant and courteous,Ascot Lloyd
5,Excellent service provided in a prompt and professional manner.  Thank you,Ascot Lloyd
1,"Poor performance on investments incompetent, poor record keeping and a lack of care for customers. Entirely focussed on their commission and charges.",Ascot Lloyd
5,great service and helpful advise from Jo Jo,Ascot Lloyd
5,They respond promptly to my requests and they are always very helpful. ,Ascot Lloyd
5,The lady on phone answered all our questions. ,Ascot Lloyd
5,"Klaire always replies to me as soon as possible.  She takes the problem on and always gets me an answer that resolves the problem at the time and also does her best to make sure it doesn't reoccur. Klaire is  helpful , friendly and  nice to talk to. ",Ascot Lloyd
5,Excellent help and advice I received from Ascot Lloyd.,Ascot Lloyd
5,When I had to call on two occasions recently everyone I spoke to was so friendly and helpful from the telephonist to the Connect Team and I spoke to different people both times.  Very impressed. ,Ascot Lloyd
5,James listens and made it easier to understand. Gave us confidence in Ascot lloyd,Ascot Lloyd
4,Klaire Deacon was extremely helpful to me.,Ascot Lloyd
5,Good service,Ascot Lloyd
5,Once again I had reason to call Ascot Lloyd for advice and once again I received excellent service. Raj Chauhan explained the current situation to me very simply and succinctly giving me a complete understanding of the investments in question. I am not familiar with the world of finance so his help was much appreciated. ,Ascot Lloyd
5,"Addressed all my enquiries as requested,with efficiency. A pleasure doing business with the Company ",Ascot Lloyd
5,"The Client Service Executive I dealt with was very helpful, patient and professional.",Ascot Lloyd
5,Review of recent communications with Ascot Lloyd�.    In the past two weeks I have contacted Ascot Lloyd twice for help and advice concerning my investment account with Aegon. On both occasions I have received sound advice from knowledgable and efficient staff in a prompt and friendly manner. So I am very happy  to give a 5-Star rating,Ascot Lloyd
5,"Whenever I speak to my contact he is always very helpful, clear and supportive. I couldn�t ask for more. ",Ascot Lloyd
5,Answered my questions and was helpful even though there was no benefit to them.,Ascot Lloyd
1,Extremely poor service - in fact non existent. Complaints take at least two months before there is even an acknowledgment- let alone resolution (maybe because there are so many of them?) and really feel their focus is on their own gain not their clients. Really disappointed,Ascot Lloyd
5,James went through everything I needed to know and made it palatable for me ,Ascot Lloyd
5,"I have been working with Ascot Lloyd for many months regarding my pension.  Im looking to retie and return on a reduced working week.  I can not thank my AL adviser enough for all the support and guidance Iv been given.  The adviser has made things possible, that I though, could not be achieved.  All the AL team iv engaged with have been very professional and have supported me very well.  Thanks AL team :-)",Ascot Lloyd
4,"At our request, we got a phone call. We explained our requirements and he said he will allocate a financial advisor to ring us on a confirmed date.",Ascot Lloyd
1,Zero service after Ascot Lloyd takeover of our local and trusted firm. We feared this would happen,Ascot Lloyd
5,Deal with the same person right through your dealings,Ascot Lloyd
5,"During a protracted pension benefit, and although I had chosen not to use my advisor, Kevin Broome still responded to my concerns and helped me come to a satisfactory conclusion. Thank you Kevin.",Ascot Lloyd
5,"I hadn�t heard from them for some time,they got me upto date on things that I had forgotten about, am having a phone conference next week will let you know how it goes. ",Ascot Lloyd
5,The professionalism of Saira was outstanding. She listened very attentively and understood my request. Saira then proceeded to find the information I needed very efficiently and sent it to me with no delay.  An absolute asset to Ascot Lloyd and its customers. ,Ascot Lloyd
5,"Klare was very efficient, helpful and sorted out my query efficiently and in good time.",Ascot Lloyd
4,"Ascot Lloyd have a passion for investment and related subject matter,  they are curious about their clients and the ever changing updates in the industry. They believe in having a long-term relationship with you and not just a series of commission-generating transactions! They can be considered trustworthy when it comes to giving sound advice they have the all important knowledge and experience.  I am happy with the service since the transition as they offer and demonstrate a broad range of service for their clients which gives the investor confidence. ",Ascot Lloyd
5,First class service  and help from Craig and the team as usual.,Ascot Lloyd
5,Klaire was very friendly and helpful- we have spoken before. She sorted out the problem with getting online access and organised an appointment for me with an adviser on the phone. ,Ascot Lloyd
5, Clear answers to my questions. Followed up with an email. Booked in to speak to an advisor on Monday,Ascot Lloyd
5,"Listened, quick helpful response, thank you!",Ascot Lloyd
5,I received courteous and rapid attention and was very impressed with the way in which my inquiry was handled.,Ascot Lloyd
5,Craig was very helpful and knowledgeable and a pleaseure to deal with,Ascot Lloyd
5,I have had the pleasure of dealing with Mike Browning and Mike apart from being an excellent advisor is a throughly nice man who makes you feel as if you are his only client he takes a personal interest in your situation.Thank you Mike you are a credit to Ascot Lloyd,Ascot Lloyd
5,"On telephoning your company the call was answered by a very helpful assistant . Our concerns that the adviser we had was no longer with the company were soon dismissed by the assistant who then went on to arrange our yearly meeting with Teams. This was the first time such an arrrangement had been made for us and details were explained fully by the assistant. We must say she was helpful, polite and guided us through what, to us, was a potential distressing experience.",Ascot Lloyd
5,"I have been with Ascot Lloyd for many years but I have been dealing with Saira. She is a credit to the company, great professionalism and genuine care for her clients.  ",Ascot Lloyd
5,Very clear and informative. Precise and professional advice from Kevin. Explained everything in detail and look forward to continuing working with Kevin in the future. ,Ascot Lloyd
5,Friendly and knowledgable staff. Dealt with my request efficiently and did so while being friendly and engaging.,Ascot Lloyd
5,"Having spent a very long, frustrating, time trying to register with Ascot Lloyd, in desperation I rang the help line and met Mr Raj Chauhan.  He helped me through the whole procedure, rang me back, as promised, and will arrange any further attention as necessary - I have no doubt that he will - I was very impressed, and re-assured, by his attention to detail.",Ascot Lloyd
5,Ascot Lloyd have administered my pension contributions for many years and since my retirement have continued to provide me with advice on many issues including recent withdrawals . All my questions have been dealt with promptly and with  courtesy . The service I have received from Matt has been exemplary and I have never been put under any pressure to take up investment recommendations unless I have been absolutely happy to have done so . A very professional service .,Ascot Lloyd
5,Helpful and straightforward. Explained what to expect.,Ascot Lloyd
5,Very professional and excellent advice 5??,Ascot Lloyd
5,Fast efficient service ,Ascot Lloyd
4,I spoke with Adam today who was very helpful and informative and answered all of my questions. ,Ascot Lloyd
3,"I've been with Ascot for 2 years and apart from a welcome pack I haven't recieved contact from them until recently which I have instigated , I was with a smaller co. prior to that and they were very good at keeping in touch, and ensuring a 1-2-1 every year...also contact details of A.L. advisor had not been updated from the previous co. We are now reviewing my investments as I have expressed a desire to change as the fund is not performing as well as others that I am in, information given so far has been adequate but we should have been having a conversation about the fund long before now...",Ascot Lloyd
5,Prompt interaction and communication ,Ascot Lloyd
5,Answered all our questions in a courteous manner and help and support was very well received,Ascot Lloyd
5,"Efficient, knowledgeable and friendly. ",Ascot Lloyd
5,The advice was comprehensive which is exactly what I wanted.,Ascot Lloyd
5,"A very clear explanation, friendly and informative, many thanks",Ascot Lloyd
5,"Simple, direct. Well informed staff. Process thorough but elegant without overload of unnecessary  detail.",Ascot Lloyd
5,Raj provided straight forward easy to understand information.,Ascot Lloyd
5,"Raj was extremely helpful with my request, including being sympathetic and very knowledgeable on my situation.",Ascot Lloyd
5,Raj was very personable and helpful. After a few years of non-communication from Ascot Lloyd Raj has got things going again and I'm confident all will be well. ,Ascot Lloyd
5,"Timely, responsive and professional service.",Ascot Lloyd
5,Always available when I need to contact them and will always contact me straight away. Always very helpful and friendly.,Ascot Lloyd
5,"Very helpful on the phone, they explained everything in detail",Ascot Lloyd
5,Excellent service from Raj at Ascot Loyds client services.,Ascot Lloyd
5,"Relaxed and informative conversation with Raj Chauhan, from Client Services Team... No hard sell, simply wanting to set up a further meeting with an advisor to review my current pension plan. A timely and enjoyable call, thank you Raj!",Ascot Lloyd
5,The professional approach to my finances. The clarity of how it was explained ,Ascot Lloyd
5,"Lovely man I spoke to ,really helpful, answering my questions xv",Ascot Lloyd
5,The help and guidance given by Raj was most helpful and also set up following meeting in two weeks.,Ascot Lloyd
5,Hi  I have just came off a call from a lovely man called Raj Chauhan whom from the onset was polite courteous & whom put me at ease about my concerns re my investments a pleasure to have spoken to & definetly an asset to your Company,Ascot Lloyd
5,I have always been treated with respect and kindness  with advice  and guidance based on excellent knowledge being provided clearly and patiently and the emphasis placed on respecting my decisions. ,Ascot Lloyd
5,Raj identified the area I needed help in and we had a detailed conversation around the implications of different approaches ,Ascot Lloyd
5,Precise honest and to the point Also prepared to listen to what I wanted  No faults perfect ,Ascot Lloyd
5,"Exceptionally courteous and helpful staff, nothing was too much trouble. I would totally recommend this company.",Ascot Lloyd
5,A daunting enquiry from my perspective was quickly reduced to one of simplicity due to the friendliness and courtesy of the Ascot Lloyd representative. ,Ascot Lloyd
5,Very easy to deal with ,Ascot Lloyd
5,All helpful and clear,Ascot Lloyd
5,Connecting with the advisors in person made a massive difference. ,Ascot Lloyd
5,Very helpful with a Power of Attorney query.  Thank you!,Ascot Lloyd
5,Great communication and always helpful and friendly,Ascot Lloyd
5,good service and very helpful with general  information ,Ascot Lloyd
1,Poor communication been trying to take money out of my pension for a month never reply to emails when you do speak to someone they just fob you off with excuses promise to send paperwork never arrives considering opening a complaint against them ,Ascot Lloyd
5,Very helpful and knowledgeable and took the time to explain things about the shares. They were very patient with me as I have never dealt with these things before but had to sort through all my share portfolio following the death of my husband who normally dealt with it on my behalf. The staff  at TQ were so helpful that I have now moved all my share accounts with other broker to TQ.   ,Ascot Lloyd
5,"Over the many years I have been with TQ Invest, people like David have given great service & help. I'd describe it as ""very much old school focus & values on client needs in a modern high tech industry"".",Ascot Lloyd
5,You are polite and friendly and very helpful. Thank you very much.,Ascot Lloyd
5,Explained clearly the processes that would be followed if I decided to become a client.,Ascot Lloyd
5,"David Jones was friendly, experienced and knew exactly what he was doing. He completed the tasks asked of him quickly and expertly.",Ascot Lloyd
5,I've made a few calls over the last 20+ years and have benefitted from David Jones' knowledge and experience. He has always put great energy and enthusiasm into helping with my queries.,Ascot Lloyd
5,"I am so impressed with my IFA Mustafa Mahmood. As usual, he was very helpful, knowledgable, and carried through on all actions re my latest drawdown request. Many thanks. Dave. ",Ascot Lloyd
5,"It was so nice to speak to someone who was so willing to be patient with my queries, I find it difficult to grasp a situation and process it.  Raj took the time to find out what had been happening to my request to relinquish my investment and phoned me back to report progress.",Ascot Lloyd
5,"Raj was helpful, polite and a good representative for Ascot Lloyd.",Ascot Lloyd
5,Fast & efficient. Impressed. Many thanks to Craig.,Ascot Lloyd
5,"Prompt and helpful response from David, as always.",Ascot Lloyd
5,David Jones at TQ extremely efficient as always. Carried out requests over the telephone in his usual professional manner.  Know exactly what transactions have been carried out and what to expect as a result.,Ascot Lloyd
5,"Ever helpful,a pleasure to do business with.",Ascot Lloyd
5,Quick response to my query. Very helpful practical advice received. Friendly approach.,Ascot Lloyd
5,Jason Barefoot is excellent. He gives a great personal service and professional advice. He treats clients well and remembers small personal details. He also spends a long time with his clients so as you never feel rushed. ,Ascot Lloyd
5,"Polite,friendly and helpful discussion.",Ascot Lloyd
5,I should like to praise both my contacts Craig & Tim for their support & professionism in all that they offer. ,Ascot Lloyd
5,Very efficient and succinct telephone conversations,Ascot Lloyd
5,Very professional approach to a seemingly difficult situation. We were guided through our future dealings. Very different from the service before the takeover.,Ascot Lloyd
5,"Very polite, quick to respond, thorough with checking everything is correct. ",Ascot Lloyd
5,Ascot Lloyd are a very professional and helpful company to deal with. They kept me up to date with all aspects of my pension change answering all my questions and concerns. They made the transition between companies very easy and smooth. A special thanks go to Kevin Branche and Kevin Broone who were especially helpful in the process.,Ascot Lloyd
5,"Mike was very good at communicating, and I believe we both had a very satisfactory meeting",Ascot Lloyd
5,Spoke to Kevin this morning who was consice and informative ...gave clarity on a Pension query and made the issue understandable... Appreciate the time and information given  C. ,Ascot Lloyd
5,As is my usual experience with David Jones of TQInvest or colleagues the service is excellent.All questions are answered promptly and reassurance on matters involving considerable investment sums are important for me and my wife .,Ascot Lloyd
5,Year on year I have had the most proficient and helpful support when taking out my annual ISA. David Jones provides exactly the right level of customer respect and service.,Ascot Lloyd
5,"After having problems locating a missing account, Raj Chauhan was incredibly helpful in getting it returned to me. He kept me informed regularly on progress and I can't sing his praises enough.",Ascot Lloyd
5,Excellent work and communication throughout in moving my pension funds in what was a very stressful time for myself polite and professional at all times ,Ascot Lloyd
5,Excellent communication regarding my upcoming telephone update on my pension account. Very friendly person to set my appointment. Sent email confirmation of the appointment and other details I need to know including the name of the person on the appointment.,Ascot Lloyd
1,"They are very good and friendly when it comes to taking your money, but when it comes time to pay out your pension they totally fob you off with excuses and ignore emails you may send chasing up any progress as to how your pension claim is progressing. I started my claim 5 months ago and I am still waiting for any positive information.",Ascot Lloyd
5,"I've been using TQ Invest / Ascot Lloyd for a number of years now and I've always found them very helpful and friendly, and most important I trust them.",Ascot Lloyd
5,Telephone answered quickly. Prompt professional and courteous handling of my transaction. A really good experience.,Ascot Lloyd
5,"Professional, articulate and friendly conversation with the next steps in the financial engagement process well explained ",Ascot Lloyd
5,Friendly and knowledgeable ,Ascot Lloyd
5,"My review of dealing with TQinvest, is positive.I have dealt with them for many years, the information they have given me,is always within the financial authorities rules,Mr Jones and Rhaj have inpecable telephone manners,they give a excellent service which I trust.Gillian Taylor",Ascot Lloyd
5,The application to my Fidelity Supermarket funds was very explicit,Ascot Lloyd
5,Excellent service from David who looks after things for me,Ascot Lloyd
5,"I have been with Ascot Lloyd as a customer for many years and always find their staff friendly, professional and efficient, particularly an employee Mr David Jones.",Ascot Lloyd
5,Extremely helpful staff member.  Answered all my questions quickly and efficiently.,Ascot Lloyd
5,The response to my problem was quick.   Mr Jones telephoned and explained my options and agreed what should be done.   He then carried through the actions very quickly allowing me to proceed. He was polite and quick.,Ascot Lloyd
5,"Very informative,and helpful service.",Ascot Lloyd
5,"The very pleasant, cheerful person that phoned and made it easy for me to make an appointment.",Ascot Lloyd
5,My query was answered extremely quickly.,Ascot Lloyd
5,The advisor I spoke to was extremely helpful. He answered all my questions with great clarity and was very patient.,Ascot Lloyd
5,"Friendly, helpful staff.",Ascot Lloyd
5,Kevin got back to me straightaway and help with the problem I had with Transact,Ascot Lloyd
1,Appalling company. When dealing with afinancial people you need trust and to believe they know what they are doing. Ascot lloyd are non of these. taking money out of your account DESPITE assurances it wont happen is only one in the catalogue of errors these people have done to me.I implore you AVOID. You will be sorry if you dont,Ascot Lloyd
5,Good preparation by Iain and clear advice.,Ascot Lloyd
5,"As clients of Ascot Lloyd we needed to cash in some of our savings to fund house repairs.  Craig, who dealt with our request, was friendly, professional and attentive from the start all the way through until the money reached our bank account.  We really felt Craig took a genuine personal interest in ensuring the transactions went through smoothly and without delay, and his communications were excellent.",Ascot Lloyd
5,"Having had a personal advisor for many years we found ourselves neglected in the transfer of our old Financial Company, Gee & Watson who sold out to Ascott Lloyd.   Apparently we may no longer have the personal touch of home visits and we may now need to liaise with the Connect Team via telephone which is a very different service.  However,I have to say Craig has been the most friendly, professional and helpful person in this strange time. He always answers the phone and does call you back when he has said he will, which is very refreshing in these days of business.  I can only praise his attentive assistance very highly. My husband and I much appreciate having a person to speak to even if it is via a telephone and he has been the person to give us some reassurance during a period of uncertainty.",Ascot Lloyd
1,"I've sent email messages, posted letters and made telephone calls going back over two years. I never get a response, except one time someone phoned back to tell me I needed to contact someone else at the company. No surprise, that someone else doesn't respond to me. I can't for the life of me imagine what is going on at a company that would cause a complete blackout of responses, consistently across the company and across a period of two years.  One time I called, I told the person who answered the phone that I was concerned I had lost my pension. She responded that I had not necessarily lost my pension and it may have just been moved somewhere! I still have not been able to get any more information from Ascot Lloyd.",Ascot Lloyd
5,Very Happy. Everything was explained thoroughly and clearly. Very polite and pleasant. Followed up outstanding matters. Would recommend to family and friends,Ascot Lloyd
5,I found Gurmail to be a very honest character and very professional in his approach .He gave me some very prudent advice along with  recommendations on my future risk approach .I was very impressed when I received a good will gesture from Aegon that Gurmail advocated for me. Gurmail is a credit to Aegon.,Ascot Lloyd
1,"Absolute terrible experience. They change the terms and conditions ""after"" your enttled to your withdrawa,l then hold your money to ransom until you pay extra costs. Discraceful !!",Ascot Lloyd
1,Ascot took over from my Parents original advisers and they are absolutely awful.  The expect my elderly parents to be able to navigate on line portals which even I can't manage.  They are very unhelpful and when  you challenge they hand you over to someone else.  AVOID,Ascot Lloyd
1,"Apalling Customer Service. My longstanding adviser from a company that was recently acquired by Ascot LLoyd, retired several months ago but I have yet to be officially informed of who is my new adviser.  On my file are instructions for a SIPP withdrawaI in July. When nothing had arrived by the end of the month, I phoned to question my new adviser. A name was given but no-one sure whether he was on holiday or not and no one called me back as promised. In frustration I called my local office who arranged for me to be called back by someone. This person admitted a mistake was made, but blamed the issue on Provider error. (Seems like a trend, going by a previous review.) I would have lost my deposit if I could not pay the money due so had to close a cash ISA to do so. What is the point of financial planning when it gets mucked up by the company managing your money?  I had been a longstanding client of the company that was acquired by Ascot Lloyd, but I'm definitely not impressed with the service I'm getting now. Needless to say, I am actively reviewing my options and so cannot truthfully recommend this company to friends.  Meanwhile, I have yet to be contacted by the advisor who is supposed to be managing my account.",Ascot Lloyd
5,My experience was particularly good. Mr Forde was extremely helpful and understanding. I would recommend Ascot Lloyd to my friends and family.,Ascot Lloyd
5,"I was put at ease immediately by the financial adviser, he was very clear and informative every step of the way. The whole procedure was dealt with in detail, any point of clarity required was clear and precise.",Ascot Lloyd
5,"Mahmood was clear, concise, helpful and professional. He listened carefully and summarised regularly to ensure that we were always on the 'same page'. He understand my needs and gave me confidence in the decisions that I was making. Thanks",Ascot Lloyd
4,"Nigel was excellent. Helpful, friendly and informed. Would happily recommend him.",Ascot Lloyd
